census_block_group,amount_land,amount_water,latitude,longitude
170310404023,102991,0,41.9708403,-87.6790418
170318248003,1429070,0,41.6149822,-87.6789594
170310107012,249560,0,42.0106545,-87.6788803
170318322003,69123,0,41.9162147,-87.6788183
170318403002,311975,0,41.8345368,-87.6787666
170318255033,1446683,0,41.5690143,-87.678721
170318094004,87942,0,42.0477258,-87.6784767
170317203002,247038,0,41.7191854,-87.6783753
170318088002,1161780,726768,42.066045,-87.6783161
170317203004,244657,0,41.7155287,-87.6782707
170310107011,180132,0,42.0070613,-87.6782605
170312430001,98510,0,41.8937078,-87.6782133
170310209021,372730,0,41.9949459,-87.6780479
170318298003,644330,0,41.5426865,-87.6779177
170317203003,527535,0,41.7099093,-87.677777
170318429004,1560393,0,41.8630708,-87.6777127
170310102013,149216,0,42.0146832,-87.677657
170317505002,430102,0,41.6811457,-87.6775758
170318102002,132740,0,42.0206047,-87.6775009
170312414001,140553,0,41.9085815,-87.6774278
170312414004,150613,0,41.9047582,-87.6772864
170317206001,290145,0,41.7046156,-87.6772655
170317201001,416386,0,41.7234989,-87.6772334
170313109003,136280,0,41.8560959,-87.6771658
170317206002,292227,0,41.7009503,-87.6771489
170310501002,191964,0,41.9567959,-87.6769777
170910108004,4998290,202763,41.1501572,-87.6769183
170318212003,546869,0,41.6693935,-87.6768751
170316116002,143076,0,41.7956599,-87.6768704
170317505001,565396,0,41.6883435,-87.6768348
170318303001,356052,0,41.4883298,-87.676771
170317502004,298639,0,41.6935602,-87.6766922
170316116001,172061,0,41.799205,-87.6766364
170318308001,168734,0,41.9669607,-87.6766291
170318308002,83990,0,41.9642212,-87.6765542
170317104006,231346,0,41.752006,-87.6765268
170318212002,659288,0,41.6601883,-87.6765022
170318308003,83805,0,41.9624001,-87.676497
170318306004,276860,0,42.0024034,-87.6764699
170316714001,287086,0,41.7759902,-87.6764469
170316705001,622494,0,41.786578,-87.6764044
170318100001,128006,0,42.0329874,-87.6763194
170317201002,1086828,0,41.7306402,-87.6762933
170318432001,162686,0,41.8495395,-87.6762881
170759509002,22235266,0,40.6522874,-87.6762815
170310506001,166523,0,41.9523692,-87.6762281
170310506002,165933,0,41.9487176,-87.6761343
170310404025,135792,0,41.9710558,-87.6761261
170317502003,359602,0,41.6971612,-87.6761133
170310507001,164326,0,41.945071,-87.6760595
170310512001,82050,0,41.942337,-87.6759793
170316714002,208540,0,41.770766,-87.6759287
170310512002,82592,0,41.9405118,-87.6759251
170310404021,99611,0,41.9742919,-87.6759129
170316115001,86304,0,41.8065808,-87.6758539
170310513001,164395,0,41.9377805,-87.6758484
170310513002,157622,0,41.934135,-87.6758317
170318100002,309470,0,42.0297058,-87.6756341
170310501001,142670,0,41.9592567,-87.6755593
170318099001,765551,0,42.0376185,-87.6752631
170318310002,160870,0,41.9160088,-87.675141
170312403001,166476,0,41.9123677,-87.67507
170316720004,441285,0,41.7592885,-87.6748393
170312422001,163378,0,41.9014101,-87.6747711
170312414002,101830,0,41.9063125,-87.6747007
170312422002,163608,0,41.8977711,-87.6746665
170312431001,123242,0,41.8945827,-87.6745721
170312431002,200762,0,41.8909869,-87.6744667
170317105004,381209,0,41.7474881,-87.6744287
170316715002,290933,0,41.7666146,-87.6742685
170313109002,103762,0,41.8530253,-87.6741553
170317104005,277657,0,41.7545854,-87.6738187
170310707002,340358,39577,41.9269956,-87.6738163
170318268003,860129,0,41.6429389,-87.6737933
170315906001,123146,0,41.828891,-87.6736125
170310102021,184019,0,42.0176338,-87.6735826
170316114003,102030,0,41.8061559,-87.6735337
170313109001,244866,0,41.8567549,-87.6735072
170317203001,245523,0,41.7156354,-87.673422
170230602001,18211269,40559,39.4008066,-87.6731937
170317112004,550198,0,41.7410889,-87.6731343
170315906003,122002,0,41.8246466,-87.6730942
170318212004,830461,0,41.6722105,-87.6730706
170310102022,167737,0,42.0143138,-87.6730354
170310107024,61717,0,42.0120527,-87.6729163
170318306003,162054,0,42.0000266,-87.6728821
170318382002,768952,0,41.8698326,-87.6728749
170316720003,184727,0,41.762071,-87.6728544
170316117002,102958,0,41.795957,-87.6727834
170318323001,803545,37059,41.9198264,-87.6727807
170310101002,183315,0,42.0213567,-87.6727517
170310107021,117641,0,42.010226,-87.6727377
170310107022,79467,0,42.0081642,-87.672732
170312415003,118517,0,41.9082402,-87.6727257
170316117003,122426,0,41.7994321,-87.6726363
170310303001,156459,0,41.9961968,-87.6726162
170310107023,98723,0,42.0063757,-87.6725873
170318094001,467958,1649008,42.0447842,-87.6725221
170910108003,2620961,0,41.1714504,-87.6724908
170316713003,121761,0,41.7711771,-87.6724808
170310303002,157692,0,41.9925923,-87.672454
170318381002,527180,0,41.8794992,-87.6723993
170318277002,359343,0,41.5826668,-87.6723683
170310304001,178430,0,41.9887321,-87.6722777
170318294022,314043,0,41.4814716,-87.6721671
170316114002,122563,0,41.8027713,-87.6721147
170310310003,175051,0,41.9709282,-87.672065
170318213004,604890,56970,41.6499383,-87.6720354
170318306002,95748,0,42.0037273,-87.672034
170315906002,102835,0,41.8269631,-87.671899
170310707001,306189,0,41.9302709,-87.6718942
170318087022,721443,784592,42.058204,-87.6718922
170312804001,502194,0,41.8860094,-87.6718846
170310304002,168056,0,41.9850611,-87.6718676
170316704001,326418,0,41.7902996,-87.6717698
170316706001,163180,0,41.7848359,-87.671625
170318381003,195009,0,41.8751979,-87.6715917
170310309001,100956,0,41.9825259,-87.6715801
170310602001,158561,0,41.9597356,-87.6715657
170316706002,163852,0,41.7811825,-87.6715295
170318268001,805335,0,41.6267561,-87.6715225
170310602002,159718,0,41.9560849,-87.6714696
170310309002,103894,0,41.980707,-87.6714421
170316713001,241234,0,41.7766362,-87.6714266
170310309004,101632,0,41.9770624,-87.6714086
170310603001,159596,0,41.9524327,-87.671376
170310309003,102234,0,41.9788883,-87.6713526
170310310001,102249,0,41.9752279,-87.6713462
170310603002,160106,0,41.9487852,-87.6712875
170316103002,266338,0,41.8132947,-87.6712683
170318319002,161418,0,41.9451331,-87.6712142
170318284013,716549,0,41.564186,-87.6711569
170312421002,81868,0,41.9014679,-87.6711129
170310625001,161003,0,41.941488,-87.6711073
170312414003,125269,0,41.9044598,-87.6710634
170310626001,330019,0,41.9359751,-87.6709843
170316114001,102026,0,41.8061785,-87.6708601
170310318001,235150,0,41.9670114,-87.6706209
170316103001,861010,0,41.8188464,-87.6704461
170316117001,102926,0,41.7970615,-87.6703835
170310319001,125983,0,41.9643036,-87.6702958
170318404002,235221,0,41.8317833,-87.6702324
170312402001,166088,0,41.9124417,-87.6701816
170318288011,523634,0,41.546893,-87.6701505
170312415001,102086,0,41.9094623,-87.6700997
170310319002,131687,0,41.9624847,-87.6700772
170316713002,121670,0,41.7712057,-87.6700638
170318286014,656300,0,41.5535201,-87.6700083
