Metric,Zipcode,Last_10_Febr,First_10_March,Middle_10_March,Last_10_March
Perc_time,60632,75.4,75.9,84,99.5
Perc_time,60634,73.3,73.1,82.5,99.5
Perc_time,60192,77.4,72.9,85.5,99.5
Perc_time,60714,74,73.9,86,99.5
Perc_time,60169,73.3,73.8,84.1,99.5
Perc_time,60459,75.3,77,85.3,99.5
Perc_time,60608,73.6,73.8,83.8,99.5
Perc_time,60643,74.4,75.2,85.2,99.5
Perc_time,60008,73.4,74.4,85.3,99.5
Perc_time,60422,75.7,76.8,84.4,99.5
Perc_time,60707,73.7,74.9,84.1,99.6
Perc_time,60016,74.4,74.3,85.7,99.6
Perc_time,60193,75.2,74.1,84.9,99.6
Perc_time,60614,71.1,73.5,86.4,99.6
Perc_time,60172,73.2,72.5,82.8,99.6
Perc_time,60629,77.1,76,84.4,99.6
Perc_time,60103,77.2,76.1,86.5,99.7
Perc_time,60056,73.9,73.2,85,99.7
Perc_time,60647,74.4,75.8,86.3,99.7
Perc_time,60068,74,73.4,85.2,99.7
Perc_time,60076,75.7,74.6,86,99.7
Perc_time,60202,74.1,75,85.8,99.7
Perc_time,60630,73.5,73.8,84.7,99.7
Perc_time,60026,72.7,72.8,86.2,99.7
Perc_time,60464,73,73.5,84.3,99.7
Perc_time,60067,74.1,72.8,85.7,99.7
Perc_time,60513,74.2,72.8,85.1,99.7
Perc_time,60641,74.7,74.5,85,99.7
Perc_time,60077,77.9,77.5,88.2,99.7
Perc_time,60154,74.4,76,87.2,99.7
Perc_time,60626,75.3,74.8,87,99.7
Perc_time,60631,73.2,73.4,83.9,99.7
Perc_time,60004,74.5,72.8,86.2,99.8
Perc_time,60616,74.5,76.6,87.1,99.8
Perc_time,60642,70.6,71.6,86.8,99.8
Perc_time,60029,76.1,75.8,88,99.8
Perc_time,60462,74,74.9,85.1,99.8
Perc_time,60025,76.6,76.8,87.2,99.8
Perc_time,60053,73.8,74.1,85,99.8
Perc_time,60622,72.8,73.8,86.2,99.8
Perc_time,60660,73.6,75.3,89.7,99.8
Perc_time,60645,78.5,79.7,88.2,99.8
Perc_time,60302,74,74.6,88.1,99.9
Perc_time,60022,75.2,74.7,88.6,99.9
Perc_time,60126,73.1,74.1,86.7,99.9
Perc_time,60625,74.4,74.9,86.8,99.9
Perc_time,60062,73.7,73.9,87.2,99.9
Perc_time,60301,73.4,73.8,88,99.9
Perc_time,60659,77.4,79.9,87.8,99.9
Perc_time,60093,74.7,74.1,88.6,99.9
Perc_time,60521,73.2,73,87.8,99.9
Perc_time,60613,70.8,75.1,88,99.9
Perc_time,60195,73.4,74.5,86.1,99.9
Perc_time,60304,75.2,75.2,86.9,99.9
Perc_time,60448,77,80.2,86.7,99.9
Perc_time,60546,72.2,73.7,86.5,99.9
Perc_time,60646,72.8,74,85.9,99.9
Perc_time,60657,69.1,73,86.7,99.9
Perc_time,60203,74.5,74.8,88,100
Perc_time,60640,76,78.5,90,100
Perc_time,60091,73.1,74.3,88.6,100
Perc_time,60558,74.4,73.9,86.2,100
Perc_time,60712,76.6,79,88.3,100
Perc_time,60043,77.6,77.8,90.7,100
Perc_time,60618,74.8,76.2,87.6,100
Full_time,60005,0.09876063183475091130012150668,0.1026488480145614791397231403,0.07581149574032136309716380891,0.03201031505774189931606682363
Full_time,60103,0.07739956699542939619918210248,0.08217090610713867073027781034,0.06709540542332427235961015713,0.02805417357656163626312880044
Full_time,60155,0.08211678832116788321167883212,0.07899934167215273206056616195,0.05711332213464271869750613774,0.02618161774838087363924486702
Full_time,60162,0.06116800442845280929975089953,0.05880648899188876013904982619,0.04287172507655665192242259272,0.02412961047914512237159600138
Full_time,60302,0.08448823903369357914812460267,0.07870180174892892775397617231,0.06052576528833414685168398299,0.03504408772326475243047705177
Full_time,60471,0.05770450221940393151553582752,0.06208095356344673454184256270,0.05035756853396901072705601907,0.02260426615727475326329194524
Full_time,60501,0.05921353452217649748513946045,0.05895219247995000520779085512,0.04274134119380987472365512159,0.02558746736292428198433420366
Full_time,60525,0.07613967022308438409311348206,0.08416497394683387794754040449,0.06126162555600485240598463405,0.02921108742004264392324093817
Full_time,60601,0.08199445983379501385041551247,0.07549388523047977422389463782,0.05512971698113207547169811321,0.02649456521739130434782608696
Full_time,60004,0.1033472331793080130733686465,0.1143769968051118210862619808,0.08025707973488652339827274553,0.02469188270293242668933276668
Full_time,60056,0.09343789562526375017583345056,0.09821458935555177690868899847,0.07245274407637013653824211767,0.02788684990784517990223575607
Full_time,60089,0.1079791366108090112085229164,0.1178240998773826775164418682,0.08186490455212922173274596182,0.02859696157283288650580875782
Full_time,60203,0.1014530358069538142189932538,0.09657999231458947098757525298,0.06537664132688320663441603317,0.02990626394881714030650200863
Full_time,60426,0.04755986411467395807440550170,0.04964254156960398425576351514,0.04257682339874120696038504258,0.03258218710369720027314408350
Full_time,60452,0.08619726889689831971166049038,0.08306770984255771274026852120,0.07106345149461051227914212690,0.02516856544989537316903045803
Full_time,60476,0.06016597510373443983402489627,0.06187624750499001996007984032,0.05568445475638051044083526682,0.01979045401629802095459837020
Full_time,60482,0.07391304347826086956521739130,0.07417365174758817017238652538,0.05895933226780323210797371692,0.02778299230336024028533883987
Full_time,60616,0.08835588355883558835588355884,0.08731587015930147303872558822,0.05841821449970041941282204913,0.03410815560348270628644460420
Full_time,60628,0.06565441846340722745217127240,0.06916651643531037798209242233,0.05588714053174172544763971785,0.03585257421482862469525311917
Full_time,60632,0.08706808572678232978568304418,0.08235074924809028239865853983,0.06195701187434240192394408538,0.03256772863447476081564281803
Full_time,60634,0.09327790356705393266768122935,0.09388677114217139630100240011,0.07438805970149253731343283582,0.03001352722353736895502198174
Full_time,60642,0.08679430535100638193421698576,0.07738803919772872973715541716,0.05878546003667349800453025564,0.03778517110266159695817490494
Full_time,60644,0.06228306980331662167373698419,0.06535137166478767380683953401,0.05001078748651564185544768069,0.03239462543714338302963371986
Full_time,60647,0.08047945205479452054794520548,0.08203731365140731628737955071,0.06328096211182204951257914308,0.03714464344819977198337685264
Full_time,60651,0.07928693373565728351927581689,0.08129325098593645360517895677,0.06109351910491872493139117585,0.03242052250550834120239219389
Full_time,60655,0.09007733362378825835965581091,0.09766268533772652388797364086,0.07802371079834141213572388016,0.03162031067722723644624547185
Full_time,60656,0.09597837107130787428185197702,0.09557185903314555220751997904,0.06643554549313711617376538843,0.02718461305467211873390882932
Full_time,60707,0.09333559293310172435707325340,0.09042356517809457294277145557,0.06792452830188679245283018868,0.03356002365464222353636901242
Full_time,60016,0.08960871170173495754891103728,0.08544994326612551278694248058,0.06215213358070500927643784787,0.03029880894337257087135195375
Full_time,60022,0.08483972041455772475295251868,0.09041835357624831309041835358,0.05436408977556109725685785536,0.03142076502732240437158469945
Full_time,60029,0.09505501789738830703963940077,0.1035166578529878371232152300,0.06601042269832078749276201506,0.02873030583873957367933271548
Full_time,60070,0.09847042604871003741876189851,0.1036262659261679189807252532,0.07423862414905051952705123612,0.03041509433962264150943396226
Full_time,60074,0.08753036730845933500126908155,0.08380200510008034373144234464,0.06669303797468354430379746835,0.02888294589590619214153466365
Full_time,60126,0.08186263096623981373690337602,0.08042943413106687541936926862,0.05750699409387628225054398508,0.02104801578601183950887963166
Full_time,60131,0.06896879756468797564687975647,0.06651376146788990825688073394,0.05937893411665967268149391523,0.03062373339337986939878405764
Full_time,60163,0.09022556390977443609022556391,0.09111699566682715454983148772,0.07120743034055727554179566563,0.02679187957464438613451180776
Full_time,60192,0.07858725400755897302228593770,0.07560521415270018621973929236,0.05810697283674040884906188743,0.01938931297709923664122137405
Full_time,60193,0.08551741109880644764365694598,0.08175549089169689480607485949,0.07003213711837171933583288698,0.02855027532275230206839109713
Full_time,60201,0.06332215630642249161722981687,0.05854980267420627908346586558,0.04318591432136420352141965895,0.02626262626262626262626262626
Full_time,60455,0.08170310701956271576524741082,0.07285535937221330479757446050,0.05525203587259045459231007113,0.02684057346124824835614961733
Full_time,60462,0.08540459727153803027471500654,0.08331815698415589145875068294,0.06292251690067602704108164327,0.02576366996412653549298836830
Full_time,60473,0.06142034548944337811900191939,0.05473277527366387636831938184,0.06112295664534470504619758351,0.03548616039744499645138396026
Full_time,60624,0.06823623304070231444533120511,0.06633507337732689845365901704,0.05407816245749010425377710877,0.03037341432910487761300696802
Full_time,60625,0.09171832309997355974029789359,0.08354068505479379533061570226,0.06376915924292870212063949129,0.03299236889105374249066406884
Full_time,60639,0.08390473190705788287742592009,0.08718941303564998199495858840,0.06605490861032840435877615141,0.03229150055812470100462446181
Full_time,60706,0.1021052631578947368421052632,0.1013110846245530393325387366,0.07461527601298884653395453904,0.02963238024507983661344225771
Full_time,60062,0.1031231585150265173836181497,0.1034389140271493212669683258,0.06974048878810783572688334593,0.02273713913609724332537443021
Full_time,60068,0.09509074182487245964706866271,0.09573580256726145531136986846,0.07270042949176807444523979957,0.02761675856543663697629483011
Full_time,60076,0.09000770119368502117828263381,0.08498960498960498960498960499,0.06522819926419409366610321169,0.03132405976300875837197320969
Full_time,60104,0.07398091934084995663486556808,0.06693440428380187416331994645,0.05980686521139332954637669399,0.03104775231764911666958194857
Full_time,60107,0.07631208096681897766579835162,0.07402897844880068184585413369,0.06061724408359090280020298012,0.02700628387777617882668969156
Full_time,60173,0.08027960177928404998940902351,0.08221256638388854403751982895,0.05974186567740938248705464101,0.02747567258156840297653119634
Full_time,60194,0.08347521281922884326489734602,0.08705751184613955216946947877,0.06571504097277293153581813376,0.02947345181587371674577767966
Full_time,60202,0.09272934906737723639132089836,0.07723890171927123428278162689,0.06135524233059470867566141554,0.03936170212765957446808510638
Full_time,60301,0.09027179928668060509162464641,0.09035992952428895041530329726,0.06519587045679536133503040588,0.03613580067026081888387002768
Full_time,60419,0.04878048780487804878048780488,0.04138851802403204272363150868,0.03211678832116788321167883212,0.02619414483821263482280431433
Full_time,60456,0.08405074762120525600362483009,0.09188822776229569932966784665,0.07142267360251011477169515317,0.02976292000682244584683609074
Full_time,60461,0.06672637707120465741155396328,0.07039902897891063571536944318,0.05601233299075025693730729702,0.02546171776941007710238479469
Full_time,60472,0.07410995398401550012109469605,0.07236061684460260972716488731,0.04612593936252915263021508163,0.02531997774067890929326655537
Full_time,60527,0.07252229513713612653541982164,0.07935731180164750020389854009,0.05440655859884479224892863797,0.02486819854769720481448323883
Full_time,60610,0.08726841744120766015844301666,0.08123962368566685113447703376,0.06169181034482758620689655172,0.04451716003348299216193592573
Full_time,60630,0.1014904679376083188908145581,0.1009485771342985521717423864,0.07318800074529532327184646916,0.03229121378601636298960515395
Full_time,60638,0.09229229919955837703560585150,0.09036768513723459347488348006,0.06996407446383858910621620641,0.03109567901234567901234567901
